q	Intensity	Error
1.01805	2.43E+08	0
1.02101	2.47E+08	0
1.02574	2.53E+08	0
1.02872	2.56E+08	0
1.03342	2.64E+08	0
1.03643	2.70E+08	0
1.0411	2.81E+08	0
1.04413	2.88E+08	0
1.04879	3.03E+08	0
1.05184	3.13E+08	0
1.05647	3.31E+08	0
1.05954	3.42E+08	0
1.06415	3.57E+08	0
1.06725	3.67E+08	0
1.07184	3.81E+08	0
1.07496	3.91E+08	0
1.07952	4.05E+08	0
1.08266	4.14E+08	0
1.0872	4.27E+08	0
1.09037	4.35E+08	0
1.09489	4.45E+08	0
1.09807	4.51E+08	0
1.10257	4.58E+08	0
1.10578	4.63E+08	0
1.11025	4.70E+08	0
1.11348	4.76E+08	0
1.11794	4.84E+08	0
1.12119	4.90E+08	0
1.12562	4.95E+08	0
1.1289	4.98E+08	0
1.1333	5.01E+08	0
1.1366	5.03E+08	0
1.14099	5.04E+08	0
1.14431	5.05E+08	0
1.14867	5.08E+08	0
1.15201	5.10E+08	0
1.15636	5.10E+08	0
1.15972	5.10E+08	0
1.16404	5.08E+08	0
1.16742	5.06E+08	0
1.17172	5.02E+08	0
1.17513	4.99E+08	0
1.17941	4.94E+08	0
1.18284	4.90E+08	0
1.18709	4.85E+08	0
1.19054	4.80E+08	0
1.19477	4.71E+08	0
1.19825	4.64E+08	0
1.20246	4.57E+08	0
1.20595	4.52E+08	0
1.21014	4.47E+08	0
1.21366	4.44E+08	0
1.21782	4.37E+08	0
1.22137	4.30E+08	0
1.22551	4.22E+08	0
1.22907	4.15E+08	0
1.23319	4.08E+08	0
1.23678	4.02E+08	0
1.24087	3.96E+08	0
1.24448	3.92E+08	0
1.24856	3.85E+08	0
1.25219	3.80E+08	0
1.25624	3.73E+08	0
1.25989	3.66E+08	0
1.26392	3.56E+08	0
1.2676	3.47E+08	0
1.27161	3.38E+08	0
1.27531	3.30E+08	0
1.27929	3.23E+08	0
1.28301	3.17E+08	0
1.28697	3.10E+08	0
1.29072	3.03E+08	0
1.29466	2.93E+08	0
1.29842	2.84E+08	0
1.30234	2.76E+08	0
1.30613	2.67E+08	0
1.31002	2.58E+08	0
1.31383	2.49E+08	0
1.31771	2.42E+08	0
1.32154	2.36E+08	0
1.32539	2.31E+08	0
1.32925	2.26E+08	0
1.33307	2.22E+08	0
1.33695	2.16E+08	0
1.34076	2.08E+08	0
1.34466	2.00E+08	0
1.34844	1.93E+08	0
1.35236	1.85E+08	0
1.35612	1.78E+08	0
1.36007	1.71E+08	0
1.36381	1.65E+08	0
1.36777	1.59E+08	0
1.37149	1.53E+08	0
1.37548	1.47E+08	0
1.37917	1.40E+08	0
1.38319	1.32E+08	0
1.38686	1.26E+08	0
1.39089	1.20E+08	0
1.39454	1.15E+08	0
1.3986	1.10E+08	0
1.40222	1.06E+08	0
1.4063	1.01E+08	0
1.40991	9.63E+07	0
1.41401	9.06E+07	0
1.41759	8.68E+07	0
1.42172	8.18E+07	0
1.42527	8.05E+07	0
1.42942	7.89E+07	0
1.43296	7.49E+07	0
1.43713	6.99E+07	0
1.44064	6.74E+07	0
1.44483	6.45E+07	0
1.44833	6.41E+07	0
1.45254	6.47E+07	0
1.45601	6.40E+07	0
1.46024	6.33E+07	0
1.46369	6.40E+07	0
1.46795	6.41E+07	0
1.47138	6.31E+07	0
1.47566	6.20E+07	0
1.47906	6.01E+07	0
1.48336	5.74E+07	0
1.48674	5.81E+07	0
1.49107	5.96E+07	0
1.49443	6.02E+07	0
1.49877	6.09E+07	0
1.50211	6.27E+07	0
1.50648	6.44E+07	0
1.50979	6.45E+07	0
1.51418	6.46E+07	0
1.51748	6.40E+07	0
1.52189	6.35E+07	0
1.52516	6.38E+07	0
1.5296	6.42E+07	0
1.53284	6.52E+07	0
1.5373	6.70E+07	0
1.54053	6.82E+07	0
1.54501	6.95E+07	0
1.54821	7.00E+07	0
1.55271	6.98E+07	0
1.55589	7.00E+07	0
1.56042	7.04E+07	0
1.56358	7.12E+07	0
1.56812	7.27E+07	0
1.57126	7.35E+07	0
1.57583	7.53E+07	0
1.57894	7.68E+07	0
1.58354	7.87E+07	0
1.58663	8.08E+07	0
1.59124	8.39E+07	0
1.59431	8.48E+07	0
1.59895	8.64E+07	0
1.60199	8.80E+07	0
1.60665	9.07E+07	0
1.60968	9.24E+07	0
1.61436	9.54E+07	0
1.61736	9.62E+07	0
1.62207	9.76E+07	0
1.62504	9.87E+07	0
1.62977	1.00E+08	0
1.63273	1.01E+08	0
1.63748	1.02E+08	0
1.64041	1.01E+08	0
1.64518	9.85E+07	0
1.64809	9.60E+07	0
1.65289	9.07E+07	0
1.65578	8.70E+07	0
1.66059	8.15E+07	0
1.66346	7.66E+07	0
1.6683	6.78E+07	0
1.67114	6.41E+07	0
1.67601	5.87E+07	0
1.67883	5.69E+07	0
1.68371	5.39E+07	0
1.68651	5.17E+07	0
1.69142	4.77E+07	0
1.69419	4.76E+07	0
1.69912	4.72E+07	0
1.70188	4.82E+07	0
1.70683	4.97E+07	0
1.70956	5.10E+07	0
1.71453	5.42E+07	0
1.71724	5.65E+07	0
1.72224	6.12E+07	0
1.72493	6.40E+07	0
1.72995	6.85E+07	0
1.73261	7.15E+07	0
1.73765	7.66E+07	0
1.7403	7.98E+07	0
1.74536	8.67E+07	0
